ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/application/modules/contract-generator/GenerationResult.ts;Integración de aplicación;.ts;54334;2740;NO;2;SI;NO
src/application/workflow/WorkflowBootstrap.ts;Workflow;.ts;2975;122;SI;0;SI;SI
src/application/workflow/WorkflowContext.ts;Workflow;.ts;1972;84;SI;1;SI;NO
src/application/workflow/WorkflowEngine.ts;Workflow;.ts;1374;75;SI;0;NO;NO
src/application/workflow/WorkflowEvent.ts;Workflow;.ts;2446;119;SI;0;NO;NO
src/application/workflow/WorkflowExecutor.ts;Workflow;.ts;1327;70;SI;0;NO;NO
src/application/workflow/WorkflowHistory.ts;Workflow;.ts;793;41;SI;0;NO;NO
src/application/workflow/WorkflowResult.ts;Workflow;.ts;1066;57;SI;0;NO;NO
src/application/workflow/WorkflowState.ts;Workflow;.ts;1776;95;SI;0;SI;NO
src/application/workflow/WorkflowStep.ts;Workflow;.ts;1067;58;SI;0;NO;NO
src/application/workflow/WorkflowTrace.ts;Workflow;.ts;1333;89;SI;0;NO;NO
src/application/workflow/WorkflowTransition.ts;Workflow;.ts;3820;174;SI;0;NO;NO
src/application/workflow/WorkflowValidator.ts;Workflow;.ts;1380;80;SI;0;NO;NO
src/application/workflow/index.ts;Workflow;.ts;380;12;SI;0;NO;NO
src/application/workflows/QuestionFlowEngine.ts;Workflow;.ts;11820;637;NO;1;SI;NO
src/bootstrap/ArchitectureBootstrap.ts;Arquitectura transversal/legacy;.ts;14504;763;NO;0;SI;NO
src/bootstrap/KnowledgeBootstrap.ts;Arquitectura transversal/legacy;.ts;3191;173;SI;0;SI;SI
src/documental/generators/MemoryComposer.ts;Motor documental y generación;.ts;995;41;SI;1;NO;NO
src/domain/clauses/ClauseGeneratorEngine.ts;Motor documental y generación;.ts;43555;2203;NO;2;SI;NO
src/domain/conocimiento/ArticuloNormativo.ts;Motores jurídicos, reglas y CPV;.ts;1297;77;SI;0;NO;NO
src/domain/conocimiento/BaseConocimiento.ts;Motores jurídicos, reglas y CPV;.ts;666;30;SI;0;NO;NO
src/domain/conocimiento/CandidatoCPV.ts;Motores jurídicos, reglas y CPV;.ts;2231;102;SI;0;NO;NO
src/domain/conocimiento/CatalogoNormativo.ts;Motores jurídicos, reglas y CPV;.ts;2241;122;SI;0;SI;NO
